condition,feature_name,feature_family,corr_holistic_score,p_holistic_score,corr_word_count,p_word_count,corr_char_count,p_char_count,corr_sentence_count,p_sentence_count,corr_paragraph_count,p_paragraph_count,corr_component_count,p_component_count,corr_coverage,p_coverage
POS,pos_len_mean,position,-0.48290032442686687,0.0,-0.3455965859120944,0.0,-0.3448312743488555,0.0,-0.326572519854768,9.137838767835875e-308,-0.1768263003938606,3.8583003017809526e-88,-0.6608387747449471,0.0,0.039833354672642624,8.593676193744714e-06
POS,pos_len_min,position,-0.32584336480238285,2.5313737621165003e-306,-0.24627711891563825,1.0818049778826458e-171,-0.2430704194368304,3.6266454743090886e-167,-0.23130528315486706,3.936847981858152e-151,-0.10195709065070506,3.51944918733171e-30,-0.396361359119912,0.0,-0.00413409807761593,0.6443366695082846
POS,pos_len_std,position,-0.3394699501866203,0.0,-0.18791117573044347,1.7185990311622215e-99,-0.19187085882170624,1.0040156657274625e-103,-0.1783118446872528,1.2814222783709893e-89,-0.1481389764954779,3.948148865123877e-62,-0.5399920238182119,0.0,0.06884079987525707,1.3998513922497353e-14
POS,pos_start_rank_0,position,-0.13678401551880903,3.742346004342813e-53,-0.13977004611857324,1.9236582473519696e-55,-0.1416042280941015,7.125320152781838e-57,-0.11784721095960886,8.137034846594715e-40,0.055533678675505654,5.43281284337526e-10,-0.13075774851918556,1.0911847337597846e-48,-0.1123809749342269,2.4232003048379695e-36
POS,pos_start_rank_1,position,-0.19296355144961141,6.559173323529083e-105,-0.1480898381994821,4.333474618639819e-62,-0.14337383946503765,2.8418020405138965e-58,-0.11007607670960451,6.296270757101715e-35,-0.07009758287479653,4.6062274386519365e-15,-0.2864102599792342,4.2636004992476725e-234,0.0020584044012087847,0.8182037348275787
POS,pos_start_rank_10,position,0.43732192954548077,0.0,0.42089166010529155,0.0,0.4179965281053926,0.0,0.37782389910344005,0.0,0.1656907793487948,1.7982386074070216e-77,0.6909840550003641,0.0,0.0722023537900714,6.850626524676554e-16
POS,pos_start_rank_11,position,0.43042777713361646,0.0,0.43223957303458244,0.0,0.43176373825624303,0.0,0.3750758940567031,0.0,0.14332300957754823,3.1191412262784028e-58,0.6750809257960428,0.0,0.06968282397023019,6.661952297068096e-15
POS,pos_start_rank_12,position,0.35126779937679947,0.0,0.38011738786958355,0.0,0.3794082924245007,0.0,0.3246713587534873,5.17165778567336e-304,0.1277059954674692,1.660294167698377e-46,0.6097284683818105,0.0,0.03755825520046496,2.7227666284267178e-05
POS,pos_start_rank_13,position,0.3203151361445563,1.6249600808206087e-295,0.3510242127287755,0.0,0.35323568049341175,0.0,0.2950341636396414,6.097119717227756e-249,0.11261637012202555,1.730764761857048e-36,0.5648227693900946,0.0,0.03491009364317182,9.639512093409791e-05
POS,pos_start_rank_14,position,0.27338000838082077,1.2060967887920174e-212,0.312886348962,2.3858334070890945e-281,0.31272347450155114,4.8273395669977765e-281,0.26581834059823106,9.989693682924546e-201,0.0923909628013643,4.687586244263132e-25,0.49990996408372756,0.0,0.03128710117908094,0.00047479133558585556
